mother_education,father_education,studytime,extra_curricular_activities,parents_job,internet_access,parental_involvement,school_type,avg_grade
SSC,Diploma,2,No,1,No,Yes,Private,61.4
HSC,Masters,3,No,2,Yes,Yes,Govt,56.6
HSC,HSC,6,No,1,Yes,Yes,Govt,91.6
Honors,SSC,1,No,1,No,Yes,Private,50.6
Under_SSC,Honors,2,No,2,Yes,No,Private,61.4
Honors,Diploma,8,Yes,2,No,Yes,Semi_Govt,86.6
Diploma,HSC,5,Yes,1,Yes,Yes,Govt,73.2
Honors,SSC,3,No,0,No,Yes,Semi_Govt,55.2
Masters,Diploma,6,No,1,Yes,Yes,Private,89.4
Diploma,Honors,7,No,1,Yes,Yes,Private,89.0
Masters,Honors,2,Yes,2,Yes,Yes,Private,51.4
SSC,Diploma,6,Yes,1,No,No,Semi_Govt,77.4
Diploma,Non_Educated,7,No,2,No,Yes,Govt,88.0
Diploma,Non_Educated,7,No,2,Yes,No,Govt,88.8
Non_Educated,Non_Educated,4,Yes,2,Yes,Yes,Private,77.8
Honors,HSC,8,Yes,2,Yes,Yes,Private,90.2
HSC,Non_Educated,6,Yes,0,Yes,No,Semi_Govt,77.0
Diploma,Honors,6,Yes,0,No,Yes,Private,90.8
SSC,Masters,8,No,1,Yes,Yes,Private,87.2
SSC,Non_Educated,7,No,2,Yes,No,Private,92.4
HSC,HSC,4,Yes,2,Yes,Yes,Private,75.2
Non_Educated,Non_Educated,7,Yes,0,Yes,Yes,Govt,89.2
Honors,Masters,6,Yes,1,No,Yes,Semi_Govt,78.2
Under_SSC,Diploma,1,No,1,No,No,Private,61.2
Honors,Under_SSC,4,Yes,2,No,No,Semi_Govt,75.8
Honors,HSC,7,Yes,1,Yes,Yes,Private,90.6
Non_Educated,HSC,8,Yes,1,No,Yes,Private,91.0
Non_Educated,Honors,7,Yes,1,No,No,Govt,87.2
Non_Educated,HSC,2,No,0,No,Yes,Govt,56.8
Masters,Non_Educated,8,No,2,Yes,No,Govt,92.2
Honors,HSC,6,Yes,1,Yes,No,Private,86.2
SSC,Diploma,6,No,1,Yes,No,Govt,73.6
Under_SSC,Diploma,6,Yes,2,Yes,No,Govt,75.0
Non_Educated,HSC,7,Yes,1,No,No,Govt,90.8
HSC,HSC,6,No,1,Yes,No,Private,72.6
Under_SSC,Non_Educated,3,Yes,0,Yes,Yes,Semi_Govt,52.8
Diploma,Honors,1,No,1,Yes,Yes,Govt,58.4
Under_SSC,Masters,5,Yes,1,No,Yes,Govt,80.8
HSC,Non_Educated,6,No,2,Yes,Yes,Govt,94.0
Honors,SSC,8,Yes,1,No,Yes,Semi_Govt,89.6
Under_SSC,Non_Educated,2,Yes,2,No,Yes,Govt,55.6
Diploma,Non_Educated,4,No,1,No,No,Private,78.2
HSC,Under_SSC,5,No,2,No,No,Private,76.6
Under_SSC,Diploma,2,Yes,1,Yes,Yes,Private,53.8
Masters,Non_Educated,6,No,1,Yes,No,Govt,74.0
Masters,HSC,7,No,1,No,Yes,Govt,91.6
Honors,Diploma,6,Yes,1,No,Yes,Private,88.6
HSC,Non_Educated,2,No,1,Yes,Yes,Semi_Govt,52.4
HSC,Non_Educated,6,Yes,2,No,No,Govt,75.0
Non_Educated,Non_Educated,5,No,0,No,No,Govt,75.8
HSC,Under_SSC,2,No,1,Yes,Yes,Semi_Govt,56.2
Under_SSC,HSC,8,No,1,Yes,Yes,Private,88.0
Under_SSC,SSC,7,Yes,0,Yes,Yes,Semi_Govt,94.8
Under_SSC,Under_SSC,2,Yes,1,Yes,No,Private,58.0
Masters,Non_Educated,7,No,0,Yes,Yes,Private,93.8
Honors,Diploma,6,No,1,Yes,No,Semi_Govt,90.2
Honors,Diploma,2,No,1,No,Yes,Private,59.4
Non_Educated,SSC,1,No,1,No,No,Govt,51.6
Diploma,Under_SSC,6,No,1,No,No,Govt,90.6
Under_SSC,HSC,3,No,2,Yes,No,Private,56.6
Under_SSC,HSC,1,No,2,Yes,Yes,Semi_Govt,45.4
Non_Educated,Masters,5,No,1,Yes,Yes,Semi_Govt,81.8
SSC,Non_Educated,5,No,1,Yes,No,Govt,73.2
SSC,Honors,7,Yes,1,No,Yes,Semi_Govt,90.4
HSC,Masters,8,Yes,0,No,Yes,Govt,91.6
Under_SSC,Masters,2,No,1,Yes,No,Private,51.6
Diploma,Under_SSC,1,Yes,0,No,Yes,Govt,59.8
Non_Educated,Masters,8,No,1,No,No,Private,93.4
HSC,Masters,6,No,1,No,No,Private,72.2
Honors,Honors,6,Yes,1,Yes,Yes,Private,88.6
SSC,Diploma,6,No,1,Yes,No,Semi_Govt,78.2
Diploma,HSC,1,Yes,1,No,Yes,Govt,59.6
Non_Educated,HSC,6,Yes,1,No,No,Govt,85.4
Non_Educated,Honors,7,Yes,2,Yes,Yes,Govt,93.0
Non_Educated,SSC,7,Yes,1,Yes,No,Private,94.2
Honors,Diploma,5,Yes,2,No,Yes,Semi_Govt,76.8
SSC,Under_SSC,7,No,2,Yes,Yes,Govt,92.4
Non_Educated,SSC,6,Yes,0,No,Yes,Semi_Govt,78.2
Diploma,HSC,4,No,1,No,Yes,Semi_Govt,74.6
Non_Educated,Masters,6,Yes,2,Yes,Yes,Govt,74.8
HSC,Non_Educated,4,No,0,No,No,Govt,77.6
Non_Educated,Diploma,3,Yes,0,No,Yes,Private,55.8
Non_Educated,Masters,3,No,1,Yes,No,Private,54.6
Under_SSC,SSC,7,No,0,No,Yes,Private,87.8
Under_SSC,Honors,4,Yes,2,No,No,Govt,73.6
Non_Educated,Under_SSC,5,Yes,1,No,Yes,Private,73.8
Masters,Under_SSC,3,Yes,1,No,Yes,Semi_Govt,50.2
Non_Educated,Non_Educated,6,No,0,Yes,No,Private,90.0
SSC,Masters,8,Yes,1,Yes,No,Private,93.4
SSC,Non_Educated,7,No,1,No,No,Govt,88.0
SSC,Non_Educated,6,No,0,No,No,Govt,89.0
Diploma,SSC,4,Yes,0,No,Yes,Semi_Govt,75.2
SSC,Diploma,5,Yes,2,Yes,Yes,Private,76.4
Masters,Honors,5,Yes,1,Yes,Yes,Govt,73.4
Non_Educated,SSC,3,Yes,0,Yes,No,Semi_Govt,62.2
Honors,Honors,7,Yes,2,No,Yes,Private,92.0
Masters,Non_Educated,4,Yes,1,Yes,No,Semi_Govt,75.2
Honors,Honors,7,Yes,2,No,Yes,Govt,83.8
Diploma,Masters,7,Yes,2,Yes,No,Semi_Govt,82.4
SSC,Non_Educated,4,Yes,0,Yes,Yes,Govt,73.4
Under_SSC,Non_Educated,8,Yes,1,No,No,Govt,88.0
SSC,Honors,1,Yes,1,No,No,Private,63.8
HSC,Non_Educated,5,No,2,No,No,Private,74.2
SSC,SSC,4,Yes,2,No,Yes,Semi_Govt,74.0
HSC,Non_Educated,3,No,1,Yes,Yes,Private,51.4
HSC,HSC,6,No,1,No,No,Private,75.2
HSC,Under_SSC,5,No,0,Yes,No,Semi_Govt,75.8
HSC,SSC,2,No,1,No,No,Semi_Govt,60.6
HSC,SSC,1,Yes,1,No,Yes,Govt,57.4
Masters,Under_SSC,4,Yes,1,No,No,Private,75.4
HSC,SSC,3,Yes,0,Yes,Yes,Govt,50.4
Honors,Masters,2,Yes,1,Yes,Yes,Semi_Govt,58.0
Diploma,Masters,1,Yes,1,Yes,No,Govt,62.4
Diploma,HSC,7,No,2,No,No,Private,89.0
SSC,Under_SSC,7,No,1,Yes,Yes,Private,90.2
Under_SSC,SSC,7,Yes,1,No,Yes,Private,86.2
Honors,HSC,7,Yes,1,Yes,Yes,Private,90.4
Under_SSC,SSC,2,No,1,No,Yes,Private,55.6
SSC,Non_Educated,4,Yes,0,No,Yes,Semi_Govt,77.8
Honors,Masters,6,Yes,2,Yes,Yes,Private,73.6
Honors,Diploma,3,Yes,1,Yes,Yes,Private,54.2
Honors,HSC,6,Yes,1,Yes,No,Private,72.8
Under_SSC,HSC,3,Yes,0,No,Yes,Govt,58.2
SSC,HSC,8,No,2,No,Yes,Semi_Govt,92.2
Under_SSC,SSC,2,Yes,1,Yes,Yes,Private,56.4
HSC,Non_Educated,7,Yes,0,No,No,Private,89.2
Honors,Non_Educated,6,Yes,2,Yes,Yes,Govt,90.0
Diploma,Diploma,8,No,0,No,Yes,Govt,87.8
Under_SSC,Honors,5,Yes,1,No,No,Govt,74.6
Non_Educated,SSC,6,No,0,Yes,No,Govt,89.6
Under_SSC,Diploma,8,Yes,1,No,No,Private,85.4
Honors,SSC,8,Yes,0,No,No,Private,87.0
Non_Educated,Under_SSC,7,Yes,1,No,Yes,Govt,83.0
SSC,HSC,5,Yes,1,Yes,No,Private,74.4
Non_Educated,Masters,7,Yes,1,No,No,Semi_Govt,87.0
Non_Educated,HSC,7,No,0,Yes,Yes,Private,89.4
SSC,Masters,3,Yes,2,Yes,No,Private,60.2
SSC,Under_SSC,6,No,2,No,No,Govt,73.6
HSC,Diploma,8,Yes,1,Yes,Yes,Semi_Govt,88.6
SSC,Honors,4,Yes,1,Yes,Yes,Semi_Govt,73.6
Diploma,Honors,6,No,0,No,Yes,Semi_Govt,75.2
SSC,SSC,8,No,1,Yes,No,Govt,91.4
HSC,Under_SSC,3,Yes,0,Yes,No,Govt,58.8
Non_Educated,Honors,4,No,1,No,Yes,Private,76.0
Masters,Under_SSC,4,Yes,2,Yes,No,Private,74.8
Masters,Honors,6,No,1,No,No,Govt,88.0
Diploma,Honors,7,Yes,2,Yes,Yes,Govt,88.0
Under_SSC,Diploma,1,No,0,No,Yes,Private,51.8
Non_Educated,SSC,7,Yes,0,Yes,Yes,Private,86.8
HSC,Masters,6,No,1,Yes,No,Govt,91.0
Under_SSC,Diploma,6,No,1,Yes,No,Private,90.2
HSC,Masters,6,No,1,Yes,No,Semi_Govt,91.6
Honors,Non_Educated,3,No,1,No,No,Semi_Govt,61.8
Honors,Under_SSC,3,Yes,1,No,Yes,Private,58.8
HSC,Diploma,8,Yes,2,Yes,No,Private,89.0
SSC,Diploma,3,No,0,Yes,Yes,Govt,59.4
SSC,Masters,2,No,2,Yes,No,Semi_Govt,61.0
Honors,Non_Educated,2,Yes,1,No,No,Private,56.2
Under_SSC,Non_Educated,8,No,1,No,No,Private,91.2
HSC,Masters,7,Yes,1,Yes,No,Govt,87.0
Diploma,Diploma,8,No,0,No,Yes,Private,87.2
HSC,Honors,5,No,2,Yes,No,Private,72.8
Diploma,Masters,5,Yes,2,Yes,No,Semi_Govt,78.0
Diploma,SSC,1,No,1,Yes,Yes,Govt,61.4
Diploma,Masters,3,No,1,No,No,Semi_Govt,60.2
HSC,Masters,6,Yes,1,Yes,No,Govt,74.6
Honors,HSC,3,Yes,1,Yes,Yes,Govt,55.6
Masters,Under_SSC,2,Yes,1,No,Yes,Govt,62.0
Diploma,Under_SSC,1,No,2,Yes,Yes,Private,61.0
Diploma,Diploma,3,Yes,1,Yes,No,Govt,60.2
Under_SSC,SSC,2,Yes,2,No,Yes,Semi_Govt,57.0
Diploma,Masters,8,Yes,0,No,No,Semi_Govt,92.2
Honors,Non_Educated,4,No,2,Yes,No,Private,76.0
Masters,HSC,8,No,0,No,No,Govt,91.4
Masters,Under_SSC,6,No,2,No,No,Govt,91.8
Non_Educated,Masters,3,No,1,No,Yes,Private,56.4
Under_SSC,Diploma,8,Yes,1,Yes,Yes,Semi_Govt,93.0
SSC,HSC,8,No,1,Yes,Yes,Govt,86.8
Diploma,HSC,8,Yes,2,No,Yes,Private,92.2
Masters,HSC,7,No,1,Yes,Yes,Govt,82.2
Non_Educated,HSC,5,Yes,1,Yes,No,Private,73.2
Diploma,SSC,6,Yes,1,No,No,Govt,73.8
Diploma,Diploma,4,No,0,No,Yes,Private,80.6
Under_SSC,Under_SSC,6,Yes,2,Yes,Yes,Private,92.4
Masters,Honors,4,Yes,1,No,No,Govt,75.8
HSC,Diploma,4,No,0,Yes,Yes,Private,76.0
Honors,SSC,3,Yes,0,No,Yes,Govt,60.8
Under_SSC,Masters,4,Yes,0,No,No,Govt,71.4
Diploma,Masters,2,Yes,0,No,No,Private,53.6
HSC,HSC,6,Yes,1,No,Yes,Govt,76.0
Under_SSC,Under_SSC,5,Yes,0,Yes,No,Semi_Govt,77.4
Diploma,Masters,4,No,0,Yes,Yes,Semi_Govt,70.2
Under_SSC,Diploma,3,No,1,Yes,No,Private,51.6
Under_SSC,Under_SSC,3,Yes,1,Yes,No,Private,58.4
Diploma,HSC,7,Yes,2,No,Yes,Private,88.8
Non_Educated,SSC,6,Yes,2,Yes,No,Private,70.8
SSC,Under_SSC,3,Yes,1,Yes,No,Private,57.0
SSC,SSC,4,No,2,No,Yes,Private,76.8
HSC,Diploma,7,Yes,2,No,No,Govt,90.4
Masters,Masters,1,Yes,2,No,No,Semi_Govt,57.2
Non_Educated,HSC,2,No,0,Yes,Yes,Govt,52.8
HSC,HSC,7,Yes,0,Yes,No,Semi_Govt,88.2
HSC,Diploma,6,No,2,Yes,No,Private,73.8
Masters,Diploma,1,Yes,1,No,No,Govt,54.4
Under_SSC,Masters,2,Yes,0,Yes,Yes,Govt,55.6
Honors,SSC,5,No,0,No,Yes,Govt,74.2
Diploma,SSC,5,Yes,1,Yes,Yes,Private,78.2
Under_SSC,SSC,2,No,1,Yes,No,Govt,64.2
Masters,Masters,8,Yes,1,No,No,Govt,90.0
HSC,Under_SSC,4,Yes,0,Yes,Yes,Semi_Govt,74.2
Diploma,Under_SSC,6,Yes,2,Yes,Yes,Private,75.6
Non_Educated,HSC,3,No,1,Yes,Yes,Govt,51.8
Honors,Non_Educated,2,No,1,No,No,Private,66.8
Diploma,SSC,6,No,1,Yes,Yes,Govt,86.2
HSC,Diploma,6,No,1,Yes,No,Govt,72.4
Under_SSC,Non_Educated,1,No,1,Yes,No,Govt,58.2
HSC,HSC,8,No,2,Yes,No,Govt,86.0
SSC,SSC,6,No,1,No,No,Private,87.6
Under_SSC,Honors,1,Yes,0,No,No,Govt,55.8
Non_Educated,Non_Educated,7,Yes,1,No,No,Private,86.0
Honors,Masters,1,Yes,0,Yes,No,Govt,52.0
Diploma,SSC,4,Yes,2,No,No,Semi_Govt,74.6
Diploma,Under_SSC,3,No,2,No,No,Govt,62.0
Non_Educated,Non_Educated,4,Yes,2,No,No,Semi_Govt,77.2
Honors,Honors,2,No,1,Yes,Yes,Private,54.0
SSC,HSC,5,No,1,No,No,Govt,71.8
Non_Educated,SSC,6,No,1,Yes,No,Govt,73.4
Honors,Masters,6,Yes,1,Yes,No,Govt,94.2
Non_Educated,Non_Educated,6,No,2,No,No,Govt,88.6
HSC,Under_SSC,8,No,2,No,Yes,Private,91.2
SSC,Honors,7,No,0,Yes,Yes,Govt,90.0
Masters,Masters,3,No,0,Yes,Yes,Semi_Govt,57.4
Diploma,Under_SSC,6,No,1,Yes,No,Semi_Govt,73.0
Under_SSC,Under_SSC,6,No,1,No,Yes,Private,76.4
Diploma,Masters,3,Yes,0,No,No,Private,55.2
Diploma,Honors,8,Yes,2,No,No,Govt,83.8
SSC,Masters,6,No,2,Yes,Yes,Semi_Govt,93.0
SSC,Diploma,8,No,1,No,Yes,Govt,93.2
Non_Educated,Non_Educated,7,Yes,0,No,No,Private,91.2
Masters,Non_Educated,6,No,1,No,No,Private,90.8
HSC,Masters,6,Yes,1,No,No,Semi_Govt,74.4
Honors,Diploma,6,No,1,No,Yes,Govt,92.4
Non_Educated,Non_Educated,6,Yes,1,Yes,No,Govt,91.6
Under_SSC,SSC,1,No,2,No,No,Govt,62.0
Diploma,Masters,2,Yes,2,No,Yes,Semi_Govt,58.2
Diploma,HSC,5,No,1,Yes,Yes,Private,73.8
Diploma,SSC,6,No,1,Yes,Yes,Semi_Govt,76.6
Non_Educated,HSC,8,Yes,1,No,No,Private,88.4
Under_SSC,SSC,5,No,1,Yes,Yes,Semi_Govt,72.0
SSC,Masters,7,Yes,1,No,Yes,Govt,88.2
SSC,SSC,8,No,1,No,Yes,Govt,86.6
Under_SSC,Honors,3,Yes,1,Yes,No,Semi_Govt,56.0
SSC,HSC,6,No,2,Yes,No,Semi_Govt,76.2
HSC,Masters,1,No,0,Yes,Yes,Govt,60.2
Honors,Under_SSC,6,Yes,2,No,Yes,Private,75.6
Honors,Non_Educated,7,Yes,0,Yes,Yes,Semi_Govt,97.8
SSC,Under_SSC,2,Yes,0,Yes,Yes,Govt,51.8
HSC,Honors,5,No,1,Yes,Yes,Semi_Govt,73.2
Non_Educated,Masters,1,Yes,1,No,No,Govt,54.4
Non_Educated,Diploma,3,Yes,1,No,Yes,Semi_Govt,63.8
Masters,SSC,1,Yes,1,Yes,No,Semi_Govt,59.4
Under_SSC,HSC,6,No,2,No,Yes,Semi_Govt,75.6
SSC,Masters,6,Yes,1,Yes,Yes,Semi_Govt,74.0
Non_Educated,Non_Educated,7,No,1,No,Yes,Govt,90.4
SSC,Non_Educated,5,Yes,1,No,Yes,Private,75.4
Under_SSC,HSC,4,No,1,No,No,Private,75.0
Under_SSC,Non_Educated,5,No,2,No,No,Govt,75.6
SSC,Masters,4,Yes,1,No,No,Private,80.4
SSC,HSC,6,No,0,No,No,Semi_Govt,75.8
Masters,Honors,2,Yes,2,No,No,Semi_Govt,60.8
HSC,Masters,6,No,1,No,Yes,Private,73.0
SSC,HSC,7,No,1,Yes,No,Govt,91.2
Non_Educated,Non_Educated,8,No,2,No,No,Semi_Govt,88.0
Honors,Honors,5,No,0,Yes,Yes,Semi_Govt,74.0
Honors,Honors,2,Yes,2,No,Yes,Govt,64.2
Non_Educated,SSC,7,Yes,2,No,Yes,Govt,90.4
Under_SSC,Non_Educated,3,Yes,0,No,Yes,Govt,67.8
Under_SSC,Masters,2,Yes,2,No,Yes,Govt,59.8
Under_SSC,Non_Educated,5,No,1,No,No,Govt,75.2
Honors,Non_Educated,6,Yes,1,No,No,Semi_Govt,79.2
HSC,SSC,6,Yes,1,No,No,Private,71.0
Non_Educated,Under_SSC,4,Yes,0,Yes,No,Semi_Govt,71.8
SSC,SSC,4,No,1,No,No,Govt,72.8
Masters,Non_Educated,7,No,1,No,Yes,Govt,89.6
HSC,Under_SSC,4,Yes,1,Yes,Yes,Private,75.6
Diploma,Honors,3,Yes,0,Yes,Yes,Govt,65.2
Under_SSC,Masters,4,Yes,1,Yes,Yes,Semi_Govt,65.2
SSC,Under_SSC,7,Yes,1,Yes,No,Private,90.4
HSC,Diploma,7,No,1,Yes,No,Govt,91.2
HSC,Non_Educated,2,No,1,Yes,Yes,Govt,56.4
Non_Educated,HSC,2,No,2,No,No,Semi_Govt,63.0
Honors,HSC,1,No,2,No,Yes,Govt,59.2
Honors,SSC,8,No,1,Yes,Yes,Semi_Govt,65.2
Diploma,SSC,4,No,0,Yes,No,Govt,75.4
SSC,Non_Educated,1,No,2,No,No,Semi_Govt,56.0
SSC,SSC,4,Yes,0,Yes,Yes,Semi_Govt,65.2
SSC,Under_SSC,4,No,1,No,No,Private,75.2
Non_Educated,Non_Educated,5,No,2,Yes,Yes,Private,72.0
HSC,Non_Educated,6,Yes,0,Yes,Yes,Private,93.4
Non_Educated,SSC,7,Yes,1,No,Yes,Private,93.6
SSC,HSC,6,Yes,1,Yes,No,Private,90.2
Diploma,Non_Educated,1,Yes,1,Yes,No,Private,56.4
Diploma,HSC,1,Yes,1,Yes,No,Semi_Govt,65.4
Honors,HSC,7,Yes,0,No,No,Govt,90.8
Masters,HSC,6,Yes,1,No,No,Govt,76.4
Under_SSC,SSC,4,Yes,0,No,No,Semi_Govt,65.2
Honors,Diploma,8,Yes,1,No,Yes,Govt,94.0
SSC,Honors,3,Yes,1,No,Yes,Semi_Govt,56.0
Masters,Diploma,6,No,0,Yes,No,Private,85.6
Honors,Masters,8,No,1,Yes,No,Govt,93.4
Under_SSC,Masters,4,No,2,Yes,Yes,Govt,75.8
Honors,Diploma,5,Yes,1,No,No,Private,76.0
SSC,Non_Educated,5,Yes,1,No,No,Govt,76.0
Masters,Under_SSC,6,Yes,0,Yes,No,Semi_Govt,74.2
SSC,Honors,4,Yes,1,Yes,Yes,Private,73.0
Honors,Honors,8,No,1,No,No,Govt,84.6
Masters,SSC,8,No,0,Yes,No,Private,95.4
Diploma,Honors,4,No,2,No,No,Private,76.2
Honors,Masters,7,No,1,Yes,Yes,Private,85.8
Under_SSC,Honors,6,No,1,No,Yes,Private,88.0
Masters,Under_SSC,1,No,2,No,No,Private,59.8
Non_Educated,Honors,7,No,0,No,Yes,Private,89.0
Diploma,SSC,7,Yes,1,No,Yes,Semi_Govt,65.2
Non_Educated,HSC,6,Yes,1,Yes,No,Govt,76.6
Diploma,Under_SSC,6,Yes,1,No,No,Semi_Govt,88.0
Honors,HSC,6,No,1,Yes,No,Govt,73.4
Masters,Masters,5,Yes,1,No,Yes,Govt,76.4
Honors,Diploma,4,No,1,Yes,No,Semi_Govt,76.6
Under_SSC,Honors,5,No,0,No,Yes,Private,74.4
Masters,Honors,6,Yes,1,No,No,Semi_Govt,77.0
Honors,Honors,8,No,1,Yes,No,Govt,86.4
Non_Educated,Non_Educated,6,No,1,No,Yes,Govt,75.2
SSC,Masters,6,Yes,0,Yes,No,Govt,75.2
Masters,Honors,4,No,1,No,Yes,Govt,74.8
HSC,Non_Educated,4,No,1,No,Yes,Semi_Govt,66.0
Diploma,SSC,1,Yes,1,Yes,Yes,Govt,60.6
HSC,HSC,4,Yes,1,No,No,Govt,74.0
SSC,Diploma,6,Yes,1,Yes,Yes,Govt,75.2
Non_Educated,Under_SSC,5,Yes,2,No,Yes,Semi_Govt,72.6
HSC,Masters,2,No,2,No,Yes,Semi_Govt,58.8
Diploma,Under_SSC,8,Yes,1,No,Yes,Govt,87.8
Masters,Diploma,3,No,0,Yes,Yes,Private,63.2
Honors,Under_SSC,1,Yes,1,Yes,No,Semi_Govt,54.2
HSC,Honors,3,No,2,Yes,No,Semi_Govt,58.8
SSC,Under_SSC,8,Yes,1,Yes,No,Govt,91.2
Diploma,Under_SSC,1,No,0,Yes,Yes,Private,57.8
SSC,Masters,3,No,1,No,Yes,Semi_Govt,59.4
Under_SSC,Masters,6,Yes,1,Yes,No,Private,96.8
Diploma,SSC,6,Yes,1,Yes,No,Govt,74.4
Under_SSC,Non_Educated,8,No,1,No,Yes,Semi_Govt,66.0
Non_Educated,Non_Educated,2,Yes,1,No,Yes,Private,52.6
SSC,Honors,3,No,1,Yes,No,Govt,57.8
HSC,Masters,7,Yes,1,No,No,Govt,88.4
HSC,Under_SSC,1,No,1,Yes,Yes,Semi_Govt,55.4
Non_Educated,Under_SSC,4,Yes,2,Yes,No,Semi_Govt,52.6
Non_Educated,Masters,3,No,2,No,No,Govt,54.2
Diploma,Diploma,4,No,0,No,No,Private,78.6
Non_Educated,Masters,6,Yes,0,Yes,No,Semi_Govt,89.6
Non_Educated,HSC,3,Yes,2,Yes,Yes,Semi_Govt,63.6
Masters,Non_Educated,1,No,1,No,Yes,Govt,52.4
Honors,Diploma,6,No,0,Yes,No,Private,90.8
Non_Educated,Masters,1,No,2,No,No,Private,55.0
HSC,HSC,6,Yes,1,No,Yes,Private,73.4
HSC,Honors,2,Yes,1,Yes,No,Semi_Govt,55.2
Diploma,Honors,8,Yes,1,No,No,Govt,93.8
Under_SSC,Masters,5,Yes,1,No,No,Govt,73.0
Diploma,SSC,4,Yes,2,No,No,Govt,73.6
Honors,Honors,6,Yes,2,No,Yes,Semi_Govt,52.6
Honors,Under_SSC,5,Yes,2,No,Yes,Govt,78.6
SSC,Diploma,8,No,1,Yes,Yes,Govt,91.6
Masters,Diploma,7,Yes,1,Yes,No,Govt,90.4
Masters,SSC,1,Yes,1,Yes,No,Private,59.6
SSC,Non_Educated,8,No,1,No,Yes,Govt,88.8
Non_Educated,SSC,5,No,2,Yes,No,Govt,73.4
HSC,HSC,5,Yes,1,Yes,No,Govt,78.8
Non_Educated,Diploma,6,No,2,No,No,Govt,75.6
HSC,SSC,4,Yes,0,Yes,Yes,Govt,76.6
Masters,SSC,6,No,0,Yes,Yes,Govt,93.8
HSC,Diploma,2,No,0,Yes,No,Private,58.6
HSC,Diploma,2,Yes,1,No,No,Private,46.2
SSC,Honors,3,No,1,Yes,No,Semi_Govt,58.4
Masters,Non_Educated,6,No,1,Yes,Yes,Private,89.0
Under_SSC,Masters,8,Yes,1,Yes,Yes,Govt,94.6
Masters,HSC,2,Yes,2,Yes,No,Private,51.4
SSC,Non_Educated,2,Yes,1,Yes,No,Private,58.2
SSC,HSC,7,Yes,1,Yes,No,Semi_Govt,52.6
SSC,Honors,4,Yes,1,Yes,Yes,Private,77.4
Under_SSC,SSC,3,No,2,No,No,Govt,55.0
Under_SSC,Masters,7,No,1,No,No,Govt,90.6
Non_Educated,Masters,1,Yes,1,Yes,No,Govt,55.2
Under_SSC,Non_Educated,3,No,1,No,No,Semi_Govt,55.4
SSC,Honors,4,Yes,2,Yes,No,Private,74.8
Masters,Diploma,2,No,1,No,Yes,Semi_Govt,53.8
SSC,Honors,5,Yes,1,No,Yes,Private,79.8
SSC,Diploma,6,No,2,No,No,Private,91.4
Diploma,Honors,1,No,1,No,Yes,Private,63.6
Under_SSC,HSC,2,No,1,Yes,No,Govt,52.6
Masters,Under_SSC,3,Yes,2,Yes,Yes,Govt,52.0
Under_SSC,Diploma,6,Yes,2,No,No,Private,87.6
Under_SSC,Under_SSC,4,No,0,No,No,Govt,74.2
Masters,SSC,5,No,1,No,Yes,Private,75.2
Non_Educated,Honors,3,No,1,No,Yes,Private,55.4
HSC,Diploma,3,No,0,No,Yes,Govt,57.2
Diploma,Masters,4,Yes,1,Yes,Yes,Private,74.8
Diploma,HSC,6,No,0,No,No,Semi_Govt,73.8
Diploma,Masters,4,No,1,No,Yes,Govt,77.6
HSC,HSC,1,Yes,1,No,Yes,Private,56.6
SSC,SSC,6,No,0,No,No,Govt,87.2
SSC,Masters,3,No,0,No,Yes,Private,58.4
Non_Educated,Honors,6,Yes,0,No,Yes,Govt,71.4
Honors,HSC,8,No,1,Yes,Yes,Semi_Govt,90.8
SSC,HSC,6,Yes,0,Yes,Yes,Semi_Govt,88.0
Diploma,HSC,4,No,1,No,No,Private,78.8
HSC,Masters,7,Yes,0,Yes,Yes,Private,87.4
Under_SSC,Honors,6,Yes,1,Yes,Yes,Govt,73.6
Non_Educated,Honors,4,Yes,1,Yes,No,Private,76.0
Under_SSC,SSC,5,Yes,2,Yes,Yes,Govt,74.8
Honors,Non_Educated,1,Yes,1,No,Yes,Govt,58.4
HSC,Under_SSC,8,Yes,1,No,Yes,Semi_Govt,90.6
Non_Educated,SSC,8,Yes,1,Yes,Yes,Govt,91.4
SSC,Diploma,7,Yes,1,No,Yes,Govt,86.0
HSC,HSC,5,Yes,1,Yes,Yes,Private,77.2
Honors,Masters,3,No,2,No,No,Semi_Govt,59.4
Diploma,SSC,1,Yes,2,No,No,Govt,55.0
HSC,Diploma,5,Yes,0,No,No,Semi_Govt,77.8
HSC,Masters,1,No,1,No,No,Govt,48.6
Non_Educated,Honors,4,No,1,No,No,Private,79.0
HSC,HSC,8,Yes,2,Yes,Yes,Private,92.8
Under_SSC,SSC,3,Yes,2,No,No,Private,60.4
Under_SSC,Diploma,6,No,1,No,No,Govt,74.6
Under_SSC,HSC,7,Yes,1,No,Yes,Govt,91.2
Diploma,Honors,8,Yes,1,Yes,Yes,Semi_Govt,89.8
Diploma,Honors,3,No,0,No,No,Private,57.4
SSC,Masters,6,Yes,0,No,Yes,Govt,83.2
Masters,Non_Educated,2,Yes,2,No,No,Govt,53.6
Diploma,Diploma,8,Yes,1,No,No,Private,90.4
Under_SSC,Honors,7,Yes,2,Yes,No,Private,87.6
SSC,Diploma,3,No,2,No,No,Semi_Govt,61.6
Diploma,Under_SSC,6,No,2,No,No,Govt,92.8
Diploma,HSC,8,No,1,No,Yes,Private,88.8
Masters,HSC,4,No,1,Yes,Yes,Govt,72.8
